Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive,ActualPoints
471,Ahmedhodzic,SheffieldUtd,Defender,4.4,27,23,1818,1,0,2.4099999999999997,0.13,1,58,42.58000000000001,0,4,219,2,423,0,0.9199999999999999,0.010000000000000009,0,18,10.480000000000004,0,0,42,Arsenal,24,2,0,0,-1
473,Baldock,SheffieldUtd,Defender,3.9,27,20,878,0,2,0.03,0.6300000000000001,0,19,18.77,0,2,106,1,45,0,0,0.04,0,1,0.44,0,0,2,Arsenal,24,2,0,0,1
474,Basham,SheffieldUtd,Defender,4,27,8,316,0,0,0.12000000000000001,0.07,0,6,7.12,0,0,35,0,0,0,3.469446951953614E-18,3.469446951953614E-18,0,0,3.3306690738754696E-16,0,0,0,Arsenal,24,2,0,0,0
476,Bogle,SheffieldUtd,Defender,4.5,27,33,1847,1,2,1.4100000000000001,0.79,2,52,37.61,0,0,218,-1,450,0,0.2300000000000001,0.09000000000000008,0,18,10.57,0,0,38,Arsenal,24,2,0,0,-4
480,Egan,SheffieldUtd,Defender,4.4,27,1,482,0,0,0.17,0,0,17,14.85,0,0,54,0,0,0,0,0,0,0,6.661338147750939E-16,0,0,0,Arsenal,24,2,0,0,0
481,Fleck,SheffieldUtd,Midfielder,4.9,27,3,89,0,0,0,0.35,0,5,3.1500000000000004,0,0,13,0,0,0,0,-5.551115123125783E-17,0,0,4.440892098500626E-16,0,0,0,Arsenal,24,2,0,0,0
482,Foderingham,SheffieldUtd,Goalkeeper,4.5,27,58,2198,0,0,0,0.05,1,63,49.29000000000001,108,7,429,6,270,0,0,0.02,0,11,7.080000000000003,15,0,57,Arsenal,24,2,0,0,0
485,McBurnie,SheffieldUtd,Forward,5.4,27,42,838,4,2,3.9199999999999995,1.2000000000000002,0,31,20.98,0,5,140,2,53,0,0.09000000000000043,1.1796119636642288E-16,0,5,1.8400000000000003,0,0,6,Arsenal,24,2,0,0,1
488,Norwood,SheffieldUtd,Midfielder,4.9,27,40,1390,1,0,1.1,1.2200000000000002,0,42,33.64,0,3,221,5,117,0,-4.163336342344337E-17,0.18000000000000008,0,5,2.890000000000005,0,0,28,Arsenal,24,2,0,0,1
489,Osborn,SheffieldUtd,Midfielder,4.8,27,20,607,0,1,0.15,0.37000000000000005,0,13,12.020000000000001,0,0,78,11,299,1,0.03,0.09000000000000001,0,8,6.080000000000001,0,0,42,Arsenal,24,2,0,0,2
490,Osula,SheffieldUtd,Forward,4.4,27,21,715,0,1,1.59,0.13,0,19,17.82,0,0,22,4,128,0,0.039999999999999813,0.05,0,7,4.14,0,0,11,Arsenal,24,2,0,0,1
576,J.Robinson,SheffieldUtd,Defender,4.5,27,21,2230,0,1,0.8300000000000001,0.6600000000000001,1,65,48.13000000000001,0,1,299,2,400,0,0.32000000000000006,0.21999999999999997,0,13,8.670000000000005,0,0,47,Arsenal,24,2,0,0,-1
587,Slimane,SheffieldUtd,Midfielder,4.8,27,10,359,0,0,0.81,0.12,1,12,8.51,0,0,17,0,0,0,4.163336342344337E-17,-6.938893903907228E-18,0,0,-1.1102230246251565E-16,0,0,0,Arsenal,24,2,0,0,0
592,Larouci,SheffieldUtd,Defender,4.4,27,8,417,0,0,0.19999999999999998,0.03,0,10,10.969999999999999,0,0,51,3,133,0,0.009999999999999985,0.01,0,3,3.63,0,0,13,Arsenal,24,2,0,0,0
593,T.Benie,SheffieldUtd,Forward,5.3,27,11,383,0,0,0.27,0.46,0,13,11.659999999999998,0,0,14,0,0,0,0,2.7755575615628914E-17,0,0,-1.5543122344752192E-15,0,0,0,Arsenal,24,2,0,0,0
638,Vini Souza,SheffieldUtd,Midfielder,5,27,59,2121,1,1,0.44,0.41000000000000003,1,63,46.860000000000014,0,4,295,21,441,1,0.22,0.11000000000000001,0,18,10.529999999999998,0,3,83,Arsenal,24,2,0,0,2
663,Hamer,SheffieldUtd,Midfielder,5,27,64,1972,2,3,1.87,2.3099999999999996,2,53,40.93,0,3,274,7,362,0,0.18999999999999995,0.39,0,13,8.030000000000001,0,0,31,Arsenal,24,2,0,0,2
693,L.Thomas,SheffieldUtd,Defender,4,27,7,916,0,0,0.53,0.18000000000000002,0,29,21.700000000000003,0,0,80,0,0,0,6.245004513516506E-17,1.734723475976807E-18,0,0,-1.7763568394002505E-15,0,0,0,Arsenal,24,2,0,0,0
492,Bentancur,Spurs,Midfielder,5.4,27,17,485,1,0,1.1500000000000001,0.6100000000000001,0,12,9.529999999999998,0,0,69,6,205,0,0.05000000000000003,0.15000000000000002,0,3,2.96,0,0,27,CrystalPalace,7,11,0,0,1
493,Bissouma,Spurs,Midfielder,5,27,29,1397,0,0,0.9500000000000001,1.33,6,20,27.329999999999995,0,0,205,5,186,0,6.938893903907228E-18,0.13000000000000003,0,3,1.7800000000000018,0,0,38,CrystalPalace,7,11,0,0,2
495,Davies,Spurs,Defender,4.4,27,31,998,1,1,2.34,0.55,1,18,21.35,0,0,201,2,100,0,0.54,0.28,0,2,1.5099999999999993,0,0,19,CrystalPalace,7,11,0,0,0
497,E.Royal,Spurs,Defender,4.5,27,26,952,1,0,0.19,0.7500000000000002,0,23,23.19,0,4,200,3,174,0,0.059999999999999984,0.10000000000000002,0,3,1.6799999999999995,0,0,32,CrystalPalace,7,11,0,0,2
499,Hojbjerg,Spurs,Midfielder,5.3,27,29,975,0,0,0.41000000000000003,1.2300000000000002,1,22,22.17,0,0,160,5,111,0,0.10000000000000002,0.04000000000000001,0,1,1.880000000000004,0,0,18,CrystalPalace,7,11,0,0,1
501,Kulusevski,Spurs,Midfielder,7,27,94,2029,6,2,3.41,5.17,6,30,36.63999999999999,0,11,340,14,268,0,0.6900000000000002,0.8299999999999994,0,5,3.9499999999999993,0,2,58,CrystalPalace,7,11,0,0,2
503,Lo Celso,Spurs,Midfielder,4.8,27,38,414,2,2,0.42000000000000004,1.02,1,10,10.33,0,6,148,2,6,0,2.7755575615628914E-17,0.19000000000000006,0,0,0.11999999999999855,0,0,8,CrystalPalace,7,11,0,0,1
504,Maddison,Spurs,Midfielder,7.9,27,83,1311,3,9,3.44,4.390000000000001,5,15,17.9,0,8,318,13,342,2,0.27,1.1100000000000008,0,5,4.369999999999999,0,0,62,CrystalPalace,7,11,0,0,5
506,Pedro Porro,Spurs,Defender,5,27,87,2067,0,8,2.2100000000000004,4.7299999999999995,5,34,39.669999999999995,0,13,510,3,180,0,0.04000000000000016,0.039999999999999786,0,3,3.830000000000002,0,0,28,CrystalPalace,7,11,0,0,0
507,Perisic,Spurs,Defender,4.8,27,6,98,0,1,0.12,0.8,0,1,1.44,0,0,34,0,0,0,-1.3877787807814457E-17,2.7755575615628914E-17,0,0,-1.0234868508263162E-16,0,0,0,CrystalPalace,7,11,0,0,0
509,Richarlison,Spurs,Midfielder,6.8,27,107,1341,10,3,8.649999999999999,1.2000000000000002,7,17,22.65,0,7,262,19,250,0,1.6799999999999995,0.16999999999999982,0,5,5.069999999999999,0,3,51,CrystalPalace,7,11,0,0,0
511,Romero,Spurs,Defender,4.8,27,78,1710,4,0,1.47,0.8900000000000001,5,24,32.730000000000004,0,13,395,14,360,0,0.1999999999999999,0.11999999999999998,0,6,5.629999999999999,0,2,71,CrystalPalace,7,11,0,0,10
513,Sarr,Spurs,Midfielder,4.6,27,65,1347,3,2,2.48,1.1600000000000001,7,14,22.279999999999998,0,4,291,12,183,0,0.25000000000000006,0.1399999999999999,0,4,3.6400000000000006,0,2,40,CrystalPalace,7,11,0,0,1
