Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive
368,Stones,ManCity,Defender,5.3,33,51,950,1,0,1.06,0.35000000000000003,5,7,10.759999999999998,0,3,222,12,180,0,0.86,0.08,0,2,2.7199999999999998,0,2,40,Luton,6,10,0,0
369,Walker,ManCity,Defender,5.3,33,84,2260,0,3,0.4,2.9499999999999997,6,27,24.55,0,8,479,4,180,0,0.04,0.16,0,2,2.7199999999999998,0,0,35,Luton,6,10,0,0
566,Matheus N.,ManCity,Midfielder,5,33,26,695,0,2,0.45,1.51,2,11,9.049999999999999,0,1,103,1,15,0,0.04,0,0,0,0.04,0,0,2,Luton,6,10,0,0
616,Gvardiol,ManCity,Defender,5.1,33,55,1652,0,0,1.07,1.6200000000000003,5,19,18.560000000000002,0,4,335,11,180,0,0.04,0.5,1,1,1.4100000000000001,0,3,55,Luton,6,10,0,0
678,Doku,ManCity,Midfielder,6.5,33,69,1302,2,6,1.6600000000000001,4.749999999999999,1,17,13.04,0,10,301,9,187,1,0.45,0.8300000000000001,0,2,1.67,0,1,36,Luton,6,10,0,0
209,Mount,ManUtd,Midfielder,6.8,33,19,411,1,0,0.29000000000000004,0.32,1,9,8.219999999999999,0,0,76,7,14,0,0.09,0,0,3,1.3,0,0,25,Bournemouth,11,6,0,0
372,Antony,ManUtd,Midfielder,6.8,33,38,1064,0,1,1.6400000000000001,1.5800000000000003,3,19,19.8,0,0,149,8,143,1,0.13999999999999999,0.22999999999999998,0,7,4.52,0,0,33,Bournemouth,11,6,0,0
373,B.Fernandes,ManUtd,Midfielder,8.4,33,115,2610,5,7,7.479999999999999,7.4099999999999975,7,44,52.07,0,14,528,26,360,1,1.52,0.75,1,8,10.440000000000001,0,4,107,Bournemouth,11,6,0,0
376,Casemiro,ManUtd,Midfielder,5.4,33,41,1261,1,2,2.62,0.7900000000000001,4,20,25.36,0,0,202,11,264,1,0.21,0.23,1,6,7.26,0,0,64,Bournemouth,11,6,0,0
377,Dalot,ManUtd,Defender,4.9,33,88,2454,1,3,0.9700000000000003,1.9100000000000004,7,41,49.53999999999999,0,10,518,12,360,1,0.12000000000000001,0.21000000000000002,1,8,10.440000000000001,0,0,78,Bournemouth,11,6,0,0
379,Eriksen,ManUtd,Midfielder,5.9,33,35,882,1,1,0.7200000000000001,2.04,1,20,16.790000000000003,0,4,186,0,0,0,0,0,0,0,0,0,0,0,Bournemouth,11,6,0,0
382,Garnacho,ManUtd,Midfielder,4.8,33,109,1908,7,5,6.1000000000000005,2.249999999999999,7,27,38.099999999999994,0,7,316,26,306,2,0.97,0.12999999999999998,1,4,8.399999999999999,0,2,74,Bournemouth,11,6,0,0
386,Lindelof,ManUtd,Defender,4.5,33,62,1328,1,1,0.69,0.4300000000000001,5,16,25.99,0,7,291,17,248,0,0.36,0.04,2,3,6.4799999999999995,0,4,66,Bournemouth,11,6,0,0
387,Maguire,ManUtd,Defender,4.3,33,57,1290,1,3,1.8100000000000003,0.9099999999999999,4,22,28.509999999999998,0,4,268,1,135,0,0.21000000000000002,0,0,5,4.8,0,0,17,Bournemouth,11,6,0,0
389,Malacia,ManUtd,Defender,4.4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bournemouth,11,6,0,0
390,Martial,ManUtd,Forward,6.5,33,25,439,1,1,1.2400000000000002,0.13999999999999999,1,6,8.54,0,2,73,0,0,0,0,0,0,0,0,0,0,0,Bournemouth,11,6,0,0
391,L.Martinez,ManUtd,Defender,4.8,33,13,578,0,1,0,0.08,1,11,10.040000000000001,0,0,118,1,21,0,0,0,0,1,0.92,0,0,2,Bournemouth,11,6,0,0
392,McTominay,ManUtd,Midfielder,4.8,33,89,1569,7,1,5.359999999999999,0.35,6,26,33.309999999999995,0,5,292,6,285,0,0.03,0.05,1,6,8.41,0,0,22,Bournemouth,11,6,0,0
395,R.Varane,ManUtd,Defender,5,33,43,1349,1,0,0.81,0.3600000000000001,3,23,27.229999999999997,0,2,270,7,270,0,0,0.01,1,5,7.16,0,0,45,Bournemouth,11,6,0,0
396,Rashford,ManUtd,Midfielder,8.9,33,102,2087,7,3,6.939999999999999,2.7499999999999996,7,33,44.23000000000001,0,0,312,19,267,0,1.11,0.16,2,3,7.819999999999999,0,0,65,Bournemouth,11,6,0,0
397,Sancho,ManUtd,Midfielder,6.8,33,3,76,0,0,0,0.07,0,1,1.86,0,0,11,0,0,0,0,0,0,0,0,0,0,0,Bournemouth,11,6,0,0
398,Shaw,ManUtd,Defender,5.3,33,31,960,0,1,0.05,0.8900000000000001,4,13,20.17,0,0,195,0,0,0,0,0,0,0,0,0,0,0,Bournemouth,11,6,0,0
401,Wan-Bissaka,ManUtd,Defender,4.5,33,30,1062,0,1,0.07,1.1,2,20,23.349999999999998,0,5,212,1,180,0,0,0.07,0,5,5.640000000000001,0,0,24,Bournemouth,11,6,0,0
508,Reguilon,ManUtd,Defender,4.4,33,38,940,0,3,0.74,1.3000000000000003,3,22,22.75,0,5,179,2,114,1,0.25,0.07,0,4,7.750000000000001,0,0,11,Bournemouth,11,6,0,0
597,A.Onana,Everton,Midfielder,4.9,33,110,2700,0,0,0,0.060000000000000005,8,44,54.42000000000001,114,9,593,18,360,0,0,0.02,1,8,10.440000000000001,21,3,95,Chelsea,12,10,0,0
617,Hojlund,ManUtd,Forward,7.1,33,82,1618,7,2,6.04,0.7799999999999999,5,23,30.330000000000002,0,10,252,4,155,0,0.13,0.09,0,3,4.51,0,0,7,Bournemouth,11,6,0,0
709,Amrabat,ManUtd,Midfielder,5,33,18,634,0,0,0.05,0.22999999999999998,1,9,11.52,0,0,87,2,19,0,0,0,0,1,0.35,0,0,2,Bournemouth,11,6,0,0
402,Almiron,Newcastle,Midfielder,6.3,33,74,1845,3,1,4.52,2.3600000000000003,5,37,37.199999999999996,0,4,270,4,98,0,0.22000000000000003,0.38,0,2,0.97,0,0,14,Spurs,10,6,0,0
403,Anderson,Newcastle,Midfielder,4.4,33,25,532,0,1,0.8300000000000001,0.37,4,6,6.27,0,0,87,6,125,0,0.05,0.06,1,1,1.7,0,0,22,Spurs,10,6,0,0
405,Botman,Newcastle,Defender,4.7,33,51,1375,2,2,0.62,0.54,3,29,31.58,0,4,298,7,180,0,0.05,0.03,1,3,2.4699999999999998,0,0,38,Spurs,10,6,0,0
406,Bruno G.,Newcastle,Midfielder,5.8,33,97,2544,3,6,3.1799999999999997,4.69,8,50,49.22,0,6,468,15,350,2,0.62,0.9399999999999998,1,7,5.3,0,0,72,Spurs,10,6,0,0
407,Burn,Newcastle,Defender,4.5,33,77,2005,2,2,2.7899999999999996,0.9800000000000002,6,35,36.800000000000004,0,4,379,12,338,0,0.54,0.45,1,6,4.43,0,2,66,Spurs,10,6,0,0
415,Isak,Newcastle,Forward,7.6,33,118,1580,15,1,14.099999999999994,1.79,4,32,34.620000000000005,0,16,451,37,339,1,4,0.5,1,7,5.119999999999999,0,7,144,Spurs,10,6,0,0
416,Joelinton,Newcastle,Midfielder,5.8,33,41,1133,2,1,2.2,0.6700000000000002,3,19,23.360000000000003,0,3,180,0,0,0,0,0,0,0,0,0,0,0,Spurs,10,6,0,0
421,Longstaff,Newcastle,Midfielder,4.9,33,81,2074,4,3,4.32,2.1200000000000006,7,42,42.98,0,1,328,9,360,0,0.63,0.13,1,7,5.31,0,0,35,Spurs,10,6,0,0
424,Pope,Newcastle,Goalkeeper,5.5,33,56,1255,0,0,0.02,0,6,14,14.700000000000003,40,1,268,0,0,0,0,0,0,0,0,0,0,0,Spurs,10,6,0,0
427,Schar,Newcastle,Defender,5,33,100,2623,3,3,2.27,1.2600000000000002,7,52,52.99,0,10,540,16,360,1,0.03,0.07,1,7,5.31,0,3,74,Spurs,10,6,0,0
428,Targett,Newcastle,Defender,4.4,33,2,77,0,0,0,0.01,0,4,1.77,0,0,15,0,0,0,0,0,0,0,0,0,0,0,Spurs,10,6,0,0
429,Tonali,Newcastle,Midfielder,5.5,33,16,437,1,0,0.62,0.4700000000000001,1,5,6.659999999999999,0,0,86,0,0,0,0,0,0,0,0,0,0,0,Spurs,10,6,0,0
