Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive,ActualPoints
656,Young,Everton,Defender,4.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CrystalPalace,5,9,4,7,0
62,Brooks,Bournemouth,Midfielder,4.9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southampton,3,12,3,11,0
63,Christie,Bournemouth,Midfielder,4.9,6,8,290,0,0,0.08,0.15,2,5,4.359999999999999,0,0,41,8,290,0,0.08,0.15,2,5,4.359999999999999,0,0,41,Southampton,3,12,3,11,2
64,Cook,Bournemouth,Midfielder,5,6,12,443,1,0,0.23,0.73,0,8,7.460000000000001,0,0,74,12,443,0,0.23,0.73,0,8,7.460000000000001,0,0,74,Southampton,3,12,3,11,10
65,Enes Ünal,Bournemouth,Forward,5.4,6,2,21,0,0,0.12,0.04,0,1,0.69,0,0,10,2,21,0,0.12,0.04,0,1,0.69,0,0,10,Southampton,3,12,3,11,1
69,Jebbison,Bournemouth,Forward,4.5,6,2,26,0,0,0,0,0,0,0.34,0,0,7,2,26,0,0,0,0,0,0.34,0,0,7,Southampton,3,12,3,11,0
70,Kerkez,Bournemouth,Defender,4.5,6,7,425,0,0,0.09,0.16999999999999998,0,8,7.460000000000001,0,0,28,7,425,0,0.09,0.16999999999999998,0,8,7.460000000000001,0,0,28,Southampton,3,12,3,11,1
71,Kluivert,Bournemouth,Midfielder,5.3,6,10,306,0,1,0.5700000000000001,0.44000000000000006,2,5,4.41,0,0,31,10,306,1,0.5700000000000001,0.44000000000000006,2,5,4.41,0,0,31,Southampton,3,12,3,11,1
74,O.Dango,Bournemouth,Midfielder,5,6,8,155,0,1,0.48,0.8,0,2,3.2699999999999996,0,0,42,8,155,1,0.48,0.8,0,2,3.2699999999999996,0,0,42,Southampton,3,12,3,11,8
76,Philip,Bournemouth,Midfielder,4.8,6,2,21,0,0,0,0.09,0,1,0.5800000000000001,0,0,5,2,21,0,0,0.09,0,1,0.5800000000000001,0,0,5,Southampton,3,12,3,11,0
77,Scott,Bournemouth,Midfielder,4.9,6,6,155,0,0,0.12000000000000001,0.05,0,3,3.3599999999999994,0,0,27,6,155,0,0.12000000000000001,0.05,0,3,3.3599999999999994,0,0,27,Southampton,3,12,3,11,1
78,Semenyo,Bournemouth,Midfielder,5.7,6,22,429,2,1,1.6600000000000001,1.34,0,8,7.3100000000000005,0,1,81,22,429,1,1.6600000000000001,1.34,0,8,7.3100000000000005,0,1,81,Southampton,3,12,3,11,7
79,Senesi,Bournemouth,Defender,4.8,6,3,256,0,0,0,0.09,0,4,4.28,0,0,16,3,256,0,0,0.09,0,4,4.28,0,0,16,Southampton,3,12,3,11,2
80,Sinisterra,Bournemouth,Midfielder,5,6,16,148,1,1,1,0.32,0,3,3.0299999999999994,0,2,58,16,148,1,1,0.32,0,3,3.0299999999999994,0,2,58,Southampton,3,12,3,11,1
81,Smith,Bournemouth,Defender,4.5,6,10,174,0,0,0,0.01,1,1,2.0300000000000002,0,0,39,10,174,0,0,0.01,1,1,2.0300000000000002,0,0,39,Southampton,3,12,3,11,2
83,Tavernier,Bournemouth,Midfielder,5.5,6,18,436,1,0,2.04,0.71,1,7,7.370000000000001,0,2,78,18,436,0,2.04,0.71,1,7,7.370000000000001,0,2,78,Southampton,3,12,3,11,4
84,Travers,Bournemouth,Goalkeeper,4.4,6,2,90,0,0,0,0,0,1,0.78,2,0,8,2,90,0,0,0,0,1,0.78,2,0,8,Southampton,3,12,3,11,0
85,Zabarnyi,Bournemouth,Defender,4.5,6,8,450,0,0,0.19,0.05,0,8,7.720000000000001,0,0,46,8,450,0,0.19,0.05,0,8,7.720000000000001,0,0,46,Southampton,3,12,3,11,2
152,Arrizabalaga,Bournemouth,Goalkeeper,4.5,6,7,180,0,0,0,0,0,5,4.03,15,0,26,7,180,0,0,0,0,5,4.03,15,0,26,Southampton,3,12,3,11,2
580,Huijsen,Bournemouth,Defender,4.4,6,3,193,0,0,0.04,0.01,0,4,3.4400000000000004,0,0,10,3,193,0,0.04,0.01,0,4,3.4400000000000004,0,0,10,Southampton,3,12,3,11,0
592,J.Araujo,Bournemouth,Defender,4.5,6,6,272,0,0,0,0.03,0,7,5.699999999999999,0,0,3,6,272,0,0,0.03,0,7,5.699999999999999,0,0,3,Southampton,3,12,3,11,0
617,Evanilson,Bournemouth,Forward,5.9,6,6,277,0,0,1.9,0.39,2,5,4.43,0,0,16,6,277,0,1.9,0.39,2,5,4.43,0,0,16,Southampton,3,12,3,11,9
86,Ajer,Brentford,Defender,4.5,6,5,367,0,0,0.28,0.04,0,7,8.78,0,0,14,5,367,0,0.28,0.04,0,7,8.78,0,0,14,WestHam,6,10,5,8,2
88,Collins,Brentford,Defender,4.5,6,13,450,0,2,0.53,0.02,0,9,11.08,0,1,57,13,450,2,0.53,0.02,0,9,11.08,0,1,57,WestHam,6,10,5,8,2
89,Damsgaard,Brentford,Midfielder,5,6,9,282,0,0,0.32,0.4,1,5,7.68,0,0,51,9,282,0,0.32,0.4,1,5,7.68,0,0,51,WestHam,6,10,5,8,3
91,Flekken,Brentford,Goalkeeper,4.5,6,15,450,0,0,0,0.02,0,9,11.08,28,0,85,15,450,0,0,0.02,0,9,11.08,28,0,85,WestHam,6,10,5,8,2
