Name,Team,Position,Goals,Assists,Clean Sheets,Goals Conceded
Soucek,Midfielder,West Ham,1,0,1,8
Webster,Defender,Brighton,0,0,3,5
A.Armstrong,Forward,Southampton,1,1,0,6
Adams,Forward,Southampton,2,0,0,5
Alisson,Goalkeeper,Liverpool,0,0,2,6
Almirón,Midfielder,Newcastle,1,0,3,5
Caicedo,Midfielder,Brighton,1,0,3,5
Coady,Defender,Everton,0,1,1,4
Gray,Midfielder,Everton,1,0,1,5
Janelt,Midfielder,Brentford,1,1,0,5
Jorginho,Midfielder,Chelsea,1,0,1,6
March,Midfielder,Brighton,0,2,3,5
Zinchenko,Defender,Arsenal,0,1,2,4
Aaronson,Midfielder,Leeds,1,1,1,10
Andersen,Defender,Crystal Palace,1,0,1,9
Bailey,Midfielder,Aston Villa,1,1,0,8
Carvalho,Midfielder,Liverpool,2,1,0,0
Dasilva,Midfielder,Brentford,2,0,1,4
Davies,Defender,Spurs,0,1,2,4
Gomez,Defender,Liverpool,0,0,2,3
Lerma,Midfielder,Bournemouth,1,0,2,18
Malacia,Defender,Man Utd,0,0,2,2
Mee,Defender,Brentford,1,0,1,9
Ramsdale,Goalkeeper,Arsenal,0,0,2,7
Rodri,Midfielder,Man City,0,2,2,6
Struijk,Defender,Leeds,0,1,1,10
Thiago Silva,Defender,Chelsea,0,1,1,9
Burn,Defender,Newcastle,0,0,2,6
Dewsbury-Hall,Midfielder,Leicester,1,0,0,11
Elliott,Midfielder,Liverpool,1,0,1,5
Fabianski,Goalkeeper,West Ham,0,0,1,6
Rice,Midfielder,West Ham,0,2,1,8
Sinisterra,Midfielder,Leeds,2,0,0,5
Botman,Defender,Newcastle,0,0,2,4
C.Doucouré,Midfielder,Crystal Palace,0,1,1,8
Mendy,Goalkeeper,Chelsea,0,0,1,9
Meslier,Goalkeeper,Leeds,0,0,1,10
Mitchell,Defender,Crystal Palace,0,1,1,6
Roca,Midfielder,Leeds,1,0,1,8
Solanke,Forward,Bournemouth,1,1,2,6
Son,Midfielder,Spurs,0,1,2,5
