Name,Team,Position,Goals,Assists,Clean Sheets,Goals Conceded
Ronan,Midfielder,Wolves,0,0,0,0
Rothwell,Midfielder,Bournemouth,0,0,0,0
Samba,Goalkeeper,Nottm Forest,0,0,0,0
Sanson,Midfielder,Aston Villa,0,0,0,0
Sarmiento,Midfielder,Brighton,0,0,0,0
Sarr,Defender,Chelsea,0,0,0,0
Sarr,Midfielder,Spurs,0,0,0,0
Saydee,Forward,Bournemouth,0,0,0,0
Scarlett,Forward,Spurs,0,0,0,0
Scherpen,Goalkeeper,Brighton,0,0,0,0
Schmeichel,Goalkeeper,Leicester,0,0,0,0
Shackleton,Midfielder,Leeds,0,0,0,0
Shelvey,Midfielder,Newcastle,0,0,0,0
Skipp,Midfielder,Spurs,0,0,0,0
Smallbone,Midfielder,Southampton,0,0,0,0
Smith,Midfielder,Arsenal,0,0,0,0
Smith,Goalkeeper,Wolves,0,0,0,0
Smithies,Goalkeeper,Leicester,0,0,0,0
Stacey,Defender,Bournemouth,0,0,0,4
Steele,Goalkeeper,Brighton,0,0,0,0
Steffen,Goalkeeper,Man City,0,0,0,0
Stevens,Defender,Brentford,0,0,0,0
Strakosha,Goalkeeper,Brentford,0,0,0,0
Söyüncü,Defender,Leicester,0,0,0,0
Tanganga,Defender,Spurs,0,0,0,0
Tavares,Defender,Arsenal,0,0,0,0
Taylor,Forward,Nottm Forest,0,0,0,0
Tella,Midfielder,Southampton,0,0,0,0
Telles,Defender,Man Utd,0,0,0,0
Thompson,Defender,Brentford,0,0,0,0
Tomkins,Defender,Crystal Palace,0,0,0,0
Torreira,Midfielder,Arsenal,0,0,0,0
Toti,Defender,Wolves,0,0,0,0
Townsend,Midfielder,Everton,0,0,0,0
Traoré,Midfielder,Aston Villa,0,0,0,0
Turner,Goalkeeper,Arsenal,0,0,0,0
Vale,Midfielder,Chelsea,0,0,0,0
Valery,Defender,Southampton,0,0,0,2
Van den Berg,Defender,Liverpool,0,0,0,0
Vestergaard,Defender,Leicester,0,0,0,0
Vlasic,Midfielder,West Ham,0,0,0,0
Walcott,Midfielder,Southampton,0,0,0,0
Warrington,Midfielder,Everton,0,0,0,0
Welch,Defender,Everton,0,0,0,0
Werner,Forward,Chelsea,0,0,0,0
White,Midfielder,Spurs,0,0,0,0
Whitworth,Goalkeeper,Crystal Palace,0,0,0,0
Wilson,Midfielder,Fulham,0,0,0,0
Wilson-Esbrand,Defender,Man City,0,0,0,0
Winks,Midfielder,Spurs,0,0,0,0
Xande Silva,Midfielder,Nottm Forest,0,0,0,0
Zakaria,Midfielder,Chelsea,0,0,0,0
Šarkić,Goalkeeper,Wolves,0,0,0,0
Maguire,Defender,Man Utd,0,0,0,6
Senesi,Defender,Bournemouth,0,0,0,11
Shaw,Defender,Man Utd,0,0,0,6
Thomas,Defender,Leicester,0,0,0,6
