Name,Team,Position,Price,Points,Goals,Assists,Clean Sheets,Goals Conceded
Toffolo,Defender,Nottm Forest,4.5,12,0,0,1,6
Tosin,Defender,Fulham,4.5,12,0,0,1,9
Adams,Midfielder,Leeds,5.0,11,0,0,1,10
Anthony,Midfielder,Bournemouth,5.3,11,1,0,0,10
Azpilicueta,Defender,Chelsea,4.9,11,0,0,1,4
Bella-Kotchap,Defender,Southampton,4.5,11,0,1,0,6
Cresswell,Defender,West Ham,4.8,11,0,0,1,6
Fabinho,Midfielder,Liverpool,5.4,11,0,0,2,3
Ings,Forward,Aston Villa,6.7,11,1,0,1,3
Kamara,Midfielder,Aston Villa,4.9,11,0,0,0,10
Kristensen,Defender,Leeds,4.9,11,0,0,1,5
Mahrez,Midfielder,Man City,7.6,11,0,1,1,3
Milner,Midfielder,Liverpool,4.5,11,0,1,0,4
Mwepu,Midfielder,Brighton,5.3,11,0,1,0,4
Ndidi,Midfielder,Leicester,4.9,11,0,0,0,14
Onana,Midfielder,Everton,4.9,11,0,1,2,3
Perraud,Defender,Southampton,4.5,11,0,1,0,2
Ramsey,Midfielder,Aston Villa,5.2,11,0,1,0,9
Reed,Midfielder,Fulham,4.5,11,0,0,1,9
Richarlison,Forward,Spurs,8.5,11,0,2,0,2
Baptiste,Midfielder,Brentford,4.5,10,0,1,0,3
Bentancur,Midfielder,Spurs,5.4,10,0,0,2,4
Castagne,Defender,Leicester,4.5,10,1,0,0,13
Christie,Midfielder,Bournemouth,5.3,10,0,0,1,10
Edouard,Forward,Crystal Palace,5.3,10,0,1,0,5
Elanga,Midfielder,Man Utd,4.9,10,0,1,1,0
Guehi,Defender,Crystal Palace,4.4,10,0,0,1,9
Leno,Goalkeeper,Fulham,4.5,10,0,0,0,7
McGinn,Midfielder,Aston Villa,5.3,10,0,0,0,9
McNeil,Midfielder,Everton,5.2,10,0,0,0,5
Robinson,Defender,Fulham,4.5,10,0,0,1,7
Tsimikas,Defender,Liverpool,4.5,10,0,2,0,0
Ward,Defender,Crystal Palace,4.5,10,0,0,1,7
Yates,Midfielder,Nottm Forest,5.0,10,0,1,0,10
Zemura,Defender,Bournemouth,4.4,10,0,0,2,14
Benrahma,Midfielder,West Ham,5.7,9,0,0,0,7
Darwin,Forward,Liverpool,8.9,9,1,1,1,2
Henderson,Midfielder,Liverpool,5.3,9,0,0,1,5
Hickey,Defender,Brentford,5.0,9,0,0,1,8
Hwang,Midfielder,Wolves,5.7,9,0,1,0,3
Isak,Forward,Newcastle,7.0,9,1,0,1,1
Jansson,Defender,Brentford,4.4,9,0,0,1,7
Lewis-Potter,Midfielder,Brentford,5.3,9,0,1,0,3
Loftus-Cheek,Midfielder,Chelsea,5.0,9,0,0,0,9
Mateta,Forward,Crystal Palace,5.3,9,1,0,1,2
McTominay,Midfielder,Man Utd,4.9,9,0,0,2,4
O'Brien,Midfielder,Nottm Forest,5.0,9,0,0,1,9
Smith,Defender,Bournemouth,4.4,9,0,0,2,14
Bamford,Forward,Leeds,7.3,8,0,1,0,4
Coutinho,Midfielder,Aston Villa,6.7,8,0,0,1,3
Elyounoussi,Midfielder,Southampton,5.3,8,0,0,0,6
Justin,Defender,Leicester,4.3,8,0,1,0,16
Lallana,Midfielder,Brighton,4.9,8,0,0,2,1
Moutinho,Midfielder,Wolves,4.9,8,0,0,2,1
Partey,Midfielder,Arsenal,4.8,8,0,0,2,2
Travers,Goalkeeper,Bournemouth,4.5,8,0,0,1,16
Ward,Goalkeeper,Leicester,4.0,8,0,0,0,16
Worrall,Defender,Nottm Forest,4.4,8,0,0,1,14
Bruno Guimaraes,Midfielder,Newcastle,5.7,7,0,0,2,3
Dendoncker,Midfielder,Aston Villa,4.8,7,0,0,1,3
James,Midfielder,Fulham,6.0,7,0,0,1,3
Konsa,Defender,Aston Villa,4.4,7,0,0,0,9
Mara,Forward,Southampton,5.5,7,0,1,0,1
McKenna,Defender,Nottm Forest,4.5,7,0,0,1,14
Niakhate,Defender,Nottm Forest,4.4,7,0,0,1,2
Olise,Midfielder,Crystal Palace,5.5,7,0,0,1,1
Perez,Midfielder,Leicester,4.9,7,0,1,1,1
Rodak,Goalkeeper,Fulham,4.4,7,0,0,1,2
Ronaldo,Forward,Man Utd,10.2,7,0,0,0,5
Stansfield,Forward,Fulham,4.5,7,0,1,0,2
Tierney,Defender,Arsenal,4.9,7,0,0,0,2
Wood,Forward,Newcastle,5.7,7,0,0,0,2
Antony,Midfielder,Man Utd,7.5,6,1,0,0,0
Cairney,Midfielder,Fulham,4.8,6,0,0,0,2
Cash,Defender,Aston Villa,4.7,6,0,0,0,9
Clyne,Defender,Crystal Palace,4.5,6,0,0,0,7
Davies,Midfielder,Everton,4.9,6,0,0,1,3
Fraser,Midfielder,Newcastle,5.3,6,0,0,1,1
Kehrer,Defender,West Ham,4.5,6,0,0,1,5
Mbabu,Defender,Fulham,4.4,6,0,1,0,3
Mings,Defender,Aston Villa,4.3,6,0,0,0,7
Murphy,Midfielder,Newcastle,4.4,6,0,0,0,1
Neto,Goalkeeper,Bournemouth,4.5,6,0,0,1,2
Nketiah,Forward,Arsenal,6.6,6,0,0,0,1
Pearson,Midfielder,Bournemouth,4.5,6,0,0,1,7
Roerslev,Defender,Brentford,4.4,6,0,0,1,0
S.Armstrong,Midfielder,Southampton,4.9,6,0,0,0,4
Sambi,Midfielder,Arsenal,4.4,6,0,0,0,3
Amartey,Defender,Leicester,4.4,5,0,0,0,10
Cook,Defender,Nottm Forest,4.5,5,0,0,0,5
Digne,Defender,Aston Villa,4.7,5,0,0,0,10
Evans,Defender,Leicester,4.4,5,0,0,0,16
Fred,Midfielder,Man Utd,5.2,5,0,0,0,7
Gelhardt,Forward,Leeds,5.3,5,0,0,0,3
Jimenez,Forward,Wolves,6.9,5,0,0,1,2
Johnson,Defender,West Ham,4.4,5,0,0,0,3
Kante,Midfielder,Chelsea,4.8,5,0,0,1,1
Klich,Midfielder,Leeds,4.8,5,0,0,0,3
Lamptey,Defender,Brighton,4.3,5,0,0,0,0
Mangala,Midfielder,Nottm Forest,4.9,5,0,0,1,1
Pulisic,Midfielder,Chelsea,5.7,5,0,0,0,2
Salisu,Defender,Southampton,4.4,5,0,0,0,10
Scamacca,Forward,West Ham,6.7,5,0,0,1,2
Soumare,Midfielder,Leicester,4.4,5,0,0,0,6
Zanka,Defender,Brentford,4.0,5,0,0,0,3
Adama,Midfielder,Wolves,5.5,4,0,0,0,0
Bissouma,Midfielder,Spurs,4.8,4,0,0,0,1
Broja,Forward,Chelsea,5.3,4,0,0,0,2
Colback,Midfielder,Nottm Forest,4.3,4,0,0,0,4
Dervisoglu,Forward,Brentford,4.5,4,0,1,0,0
Grealish,Midfielder,Man City,6.8,4,0,0,1,0
Hughes,Midfielder,Crystal Palace,4.9,4,0,0,0,2
Kovacic,Midfielder,Chelsea,4.9,4,0,0,0,1
Martial,Forward,Man Utd,6.9,4,0,1,0,1
Milivojevic,Midfielder,Crystal Palace,4.4,4,0,0,0,2
Mitoma,Midfielder,Brighton,4.9,4,0,0,0,0
Romero,Defender,Spurs,4.9,4,0,0,0,4
Semedo,Defender,Wolves,5.0,4,0,0,0,1
Smith Rowe,Midfielder,Arsenal,5.7,4,0,0,0,1
Tomiyasu,Defender,Arsenal,4.2,4,0,0,0,1
A.Doucoure,Midfielder,Everton,5.3,3,0,0,0,2
Anderson,Midfielder,Newcastle,4.5,3,0,0,0,1
Ayling,Defender,Leeds,4.5,3,0,1,0,2
Bech,Defender,Brentford,4.5,3,0,0,0,0
Casemiro,Midfielder,Man Utd,5.0,3,0,0,0,0
Chambers,Defender,Aston Villa,4.4,3,0,0,0,1
Cornet,Midfielder,West Ham,5.9,3,0,0,0,1
Diallo,Midfielder,Southampton,4.4,3,0,0,0,2
Diego Carlos,Defender,Aston Villa,4.8,3,0,0,0,3
Forshaw,Midfielder,Leeds,4.5,3,0,0,0,0
Freuler,Midfielder,Nottm Forest,5.0,3,0,0,0,7
Gallagher,Midfielder,Chelsea,5.7,3,0,0,0,4
Greenwood,Forward,Leeds,4.4,3,0,0,0,1
Lanzini,Midfielder,West Ham,5.3,3,0,0,0,1
Lenglet,Defender,Spurs,4.8,3,0,0,0,1
Lyanco,Defender,Southampton,4.4,3,0,0,0,0
Onyeka,Midfielder,Brentford,4.9,3,0,0,0,1
Palmer,Midfielder,Man City,4.4,3,0,0,0,0
Rondon,Forward,Everton,5.0,3,0,0,0,1
Surridge,Forward,Nottm Forest,4.8,3,0,0,0,1
Undav,Forward,Brighton,5.2,3,0,0,0,0
Van de Beek,Midfielder,Man Utd,5.2,3,0,0,0,0
Ziyech,Midfielder,Chelsea,5.7,3,0,0,0,3
Archer,Forward,Aston Villa,4.4,2,0,0,0,0
Chalobah,Midfielder,Fulham,4.5,2,0,0,0,0
Chalobah,Defender,Chelsea,4.7,2,0,0,0,1
Colwill,Defender,Brighton,4.4,2,0,0,0,0
Damsgaard,Midfielder,Brentford,5.3,2,0,0,0,0
Dele,Midfielder,Everton,5.3,2,0,0,0,1
Dennis,Forward,Nottm Forest,5.9,2,0,0,0,4
Duffy,Defender,Fulham,4.4,2,0,0,0,0
Elneny,Midfielder,Arsenal,4.3,2,0,0,0,1
Emerson,Defender,West Ham,4.0,2,0,0,0,2
Fofana,Defender,Chelsea,4.4,2,0,0,0,7
Fredericks,Defender,Bournemouth,4.4,2,0,0,0,0
Ghoddos,Midfielder,Brentford,4.9,2,0,0,0,1
Holding,Defender,Arsenal,4.3,2,0,0,0,0
Lewis,Defender,Man City,4.0,2,0,0,0,0
Lucas Moura,Midfielder,Spurs,5.8,2,0,0,0,0
Matip,Defender,Liverpool,5.9,2,0,0,0,2
Maupay,Forward,Everton,6.1,2,0,0,1,0
Ogbonna,Defender,West Ham,4.5,2,0,0,0,1
Paqueta,Midfielder,West Ham,6.0,2,0,0,0,1
Phillips,Defender,Liverpool,4.0,2,0,0,0,1
Richards,Defender,Crystal Palace,4.4,2,0,0,0,3
Romeu,Midfielder,Southampton,4.8,2,0,0,0,4
Sergio Gomez,Defender,Man City,4.5,2,0,0,0,0
Stanislas,Midfielder,Bournemouth,4.8,2,0,0,0,1
Summerville,Midfielder,Leeds,4.4,2,0,0,0,2
Vinagre,Defender,Everton,4.3,2,0,0,0,0
Young,Defender,Aston Villa,4.4,2,0,0,0,1
Areola,Goalkeeper,West Ham,4.4,1,0,0,0,2
Bajcetic,Midfielder,Liverpool,4.5,1,0,0,0,0
Bednarek,Defender,Aston Villa,4.3,1,0,0,0,6
Bevan,Defender,Bournemouth,4.0,1,0,0,0,1
Biancone,Defender,Nottm Forest,4.3,1,0,0,0,1
Cafu,Midfielder,Nottm Forest,4.4,1,0,0,0,0
Campbell,Midfielder,Wolves,4.4,1,0,0,0,0
Clark,Midfielder,Liverpool,4.5,1,0,0,0,0
Coventry,Midfielder,West Ham,4.4,1,0,0,0,0
Diogo Jota,Forward,Liverpool,8.9,1,0,0,0,0
Diop,Defender,Fulham,4.3,1,0,0,0,1
Doherty,Defender,Spurs,4.6,1,0,0,0,0
Downes,Midfielder,West Ham,4.4,1,0,0,0,0
Drameh,Defender,Leeds,4.0,1,0,0,0,3
Ebiowei,Midfielder,Crystal Palace,4.4,1,0,0,0,0
Edozie,Midfielder,Southampton,5.0,1,0,0,0,0
Francois,Midfielder,Fulham,4.4,1,0,0,0,0
Fabio Vieira,Midfielder,Arsenal,5.7,1,0,0,0,1
Garnacho,Midfielder,Man Utd,4.4,1,0,0,0,0
Gilmour,Midfielder,Brighton,4.4,1,0,0,0,0
Godfrey,Defender,Everton,4.3,1,0,0,0,0
Gueye,Midfielder,Everton,5.0,1,0,0,0,0
Kalajdzic,Forward,Wolves,5.5,1,0,0,0,0
Keane,Defender,Everton,4.3,1,0,0,0,1
Krafth,Defender,Newcastle,4.3,1,0,0,0,0
Lowe,Midfielder,Bournemouth,5.3,1,0,0,0,0
Maitland-Niles,Midfielder,Southampton,4.8,1,0,0,0,0
Marcondes,Midfielder,Bournemouth,4.8,1,0,0,0,1
Mighten,Midfielder,Nottm Forest,4.9,1,0,0,0,0
Mina,Defender,Everton,4.3,1,0,0,0,1
Phillips,Midfielder,Man City,4.8,1,0,0,0,0
Praet,Midfielder,Leicester,4.9,1,0,0,0,2
Redmond,Midfielder,Southampton,5.3,1,0,0,0,0
Ritchie,Defender,Newcastle,4.3,1,0,0,0,0
Solomon,Midfielder,Fulham,4.9,1,0,0,0,1
Spence,Defender,Spurs,4.2,1,0,0,0,0
Stephens,Defender,Bournemouth,4.3,1,0,0,0,2
Thiago,Midfielder,Liverpool,5.2,1,0,0,0,1
Van Hecke,Defender,Brighton,4.0,1,0,0,0,0
Vinicius,Forward,Fulham,5.5,1,0,0,0,0
Wan-Bissaka,Defender,Man Utd,4.3,1,0,0,0,0
Willian,Midfielder,Fulham,5.5,1,0,0,0,1
Ablade,Forward,Fulham,4.5,0,0,0,0,0
Adrian,Goalkeeper,Liverpool,4.0,0,0,0,0,0
Aguerd,Defender,West Ham,4.9,0,0,0,0,0
Ajer,Defender,Brentford,4.5,0,0,0,0,0
Akanji,Defender,Man City,5.0,0,0,0,0,0
Albrighton,Midfielder,Leicester,4.8,0,0,0,0,0
Allan,Midfielder,Everton,4.8,0,0,0,0,0
Alonso,Defender,Chelsea,5.3,0,0,0,0,0
Alzate,Midfielder,Brighton,4.4,0,0,0,0,0
Amad,Midfielder,Man Utd,4.4,0,0,0,0,0
Ampadu,Defender,Chelsea,4.4,0,0,0,0,0
Andre Gomes,Midfielder,Everton,4.5,0,0,0,0,0
Arrizabalaga,Goalkeeper,Chelsea,4.4,0,0,0,0,0
Arter,Midfielder,Nottm Forest,4.4,0,0,0,0,0
Arthur,Midfielder,Liverpool,5.0,0,0,0,0,0
Ashby,Defender,West Ham,4.0,0,0,0,0,0
Aubameyang,Forward,Chelsea,9.0,0,0,0,0,0
Augustinsson,Defender,Aston Villa,4.3,0,0,0,0,0
Austin,Goalkeeper,Spurs,4.0,0,0,0,0,0
B.Williams,Defender,Man Utd,3.9,0,0,0,0,0
Bade,Defender,Nottm Forest,4.5,0,0,0,0,0
Bailly,Defender,Man Utd,4.0,0,0,0,0,0
Balcombe,Goalkeeper,Brentford,4.0,0,0,0,0,0
Barkley,Midfielder,Chelsea,4.9,0,0,0,0,0
Bate,Midfielder,Leeds,4.5,0,0,0,0,0
Begovic,Goalkeeper,Everton,4.0,0,0,0,0,0
Benteke,Forward,Crystal Palace,5.5,0,0,0,0,0
Bergwijn,Midfielder,Spurs,5.5,0,0,0,0,0
Bertrand,Defender,Leicester,4.0,0,0,0,0,0
Bidstrup,Midfielder,Brentford,4.5,0,0,0,0,0
Boly,Defender,Nottm Forest,4.3,0,0,0,0,0
Branthwaite,Defender,Everton,4.0,0,0,0,0,0
Brooks,Midfielder,Bournemouth,5.3,0,0,0,0,0
Brunt,Defender,Leicester,4.0,0,0,0,0,0
Bryan,Defender,Fulham,4.4,0,0,0,0,0
Bryan,Midfielder,Spurs,5.0,0,0,0,0,0
Bueno,Defender,Wolves,4.0,0,0,0,0,0
Butland,Goalkeeper,Crystal Palace,4.4,0,0,0,0,0
