Name,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Young,5,1,86,0,0,0,0.01,0,1,1.02,0,0,4
Cunha,5,2,60,0,0,0.09,0.07,0,1,1.65,0,0,8
Willian,5,6,90,0,1,0.08,0.1,1,0,1,0,0,22
Larouci,5,0,0,0,0,0,0,0,0,0,0,0,0
T.Benie,5,0,0,0,0,0,0,0,0,0,0,0,0
Amdouni,5,8,63,1,0,0.16,0.01,0,1,0.52,0,2,28
Kerkez,5,5,73,0,0,0,0.11,1,0,1.21,0,0,14
Trafford,5,2,90,0,0,0,0,0,1,0.72,3,0,16
A.Onana,5,2,90,0,0,0,0,0,3,1.89,5,0,18
Diaby,5,5,90,0,1,0.11,0.34,0,1,1.17,0,0,21
Redmond,5,0,0,0,0,0,0,0,0,0,0,0,0
Danjuma,5,2,90,0,0,0.06,0.01,0,1,1.02,0,0,8
Kabore,5,2,90,0,0,0.03,0.37,0,1,0.98,0,0,17
Barnes,5,3,82,0,0,0.06,0.02,1,0,0.31,0,0,4
Aina,5,2,90,0,0,0.03,0.01,0,1,0.56,0,0,12
Koleosho,5,2,75,0,0,0,0.03,0,1,0.59,0,0,5
Bruun Larsen,5,0,0,0,0,0,0,0,0,0,0,0,0
Maatsen,5,1,9,0,0,0.2,0.02,0,0,0.09,0,0,3
Bassey,5,1,1,0,0,0,0,0,0,0.28,0,0,3
Disasi,5,5,90,0,0,0,0,1,0,1.19,0,0,23
Ugochukwu,5,3,90,0,0,0,0.03,1,0,1.19,0,0,11
Kaminski,5,1,90,0,0,0,0.01,0,1,0.98,1,0,6
Gvardiol,5,1,90,0,0,0.08,0.36,0,1,0.94,0,0,15
Hojlund,5,2,63,0,0,0.03,0.06,0,2,0.9,0,0,3
Dobbin,5,0,0,0,0,0,0,0,0,0,0,0,0
Doak,5,0,0,0,0,0,0,0,0,0,0,0,0
Barkley,5,0,0,0,0,0,0,0,0,0,0,0,0
Brown,5,2,73,0,0,0.35,0.2,0,1,0.93,0,0,12
Vini Souza,5,2,90,0,0,0,0,0,2,1.87,0,0,14
Van de Ven,5,1,90,0,0,0,0.01,0,1,0.57,0,0,7
Alvarez,5,1,67,0,0,0,0,0,1,2.84,0,0,3
Aarons,5,6,90,0,0,0,0.05,1,0,1.71,0,0,26
Y. Chermiti,5,1,2,0,0,0,0,0,0,0,0,0,2
Onyango,5,0,0,0,0,0,0,0,0,0,0,0,0
Rak-Sakyi,5,1,1,0,0,0,0,0,1,0.64,0,0,3
Gordon,5,0,0,0,0,0,0,0,0,0,0,0,0
Adama,5,0,0,0,0,0,0,0,0,0,0,0,0
Hamer,5,10,80,1,0,0.08,0.19,1,0,1.32,0,2,31
Ward-Prowse,5,7,90,1,0,0.57,0.15,0,3,3.63,0,0,26
Lavia,5,0,0,0,0,0,0,0,0,0,0,0,0
Endo,5,0,0,0,0,0,0,0,0,0,0,0,0
Zaniolo,5,0,56,0,0,0.03,0.27,0,1,0.37,0,0,-3
Delcroix,5,1,3,0,0,0,0,0,0,0.08,0,0,3
A.Ramsey,5,0,0,0,0,0,0,0,0,0,0,0,0
Doku,5,9,89,1,0,0.09,0.63,0,1,0.92,0,2,38
G.Montiel,5,0,52,0,0,0,0.01,0,1,0.19,0,0,1
Johnson,5,0,0,0,0,0,0,0,0,0,0,0,0
Harris,5,0,0,0,0,0,0,0,0,0,0,0,0
Castagne,5,8,90,0,0,0.04,0.18,1,0,1.28,0,3,34
Kudus,5,1,23,0,0,0,0,0,2,0.79,0,0,7
Beto,5,2,65,0,0,0,0.01,1,0,0.55,0,0,5
L.Thomas,5,1,90,0,0,0,0,0,2,1.87,0,0,8
Lenglet,5,0,0,0,0,0,0,0,0,0,0,0,0
Ansu Fati,5,1,26,0,0,0.64,0.01,0,1,0.23,0,0,0
Sinisterra,5,1,17,0,0,0,0,0,0,0.5,0,0,1
Gravenberch,5,1,1,0,0,0,0,0,0,0,0,0,2
Amrabat,5,0,0,0,0,0,0,0,0,0,0,0,0
Origi,5,1,19,0,0,0,0,0,0,0.37,0,0,3
