Name,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Gallagher,6,2,90,0,0,0.03,0.03,0,1,1.04,0,0,22
Gusto,6,-2,57,0,0,0,0.08,0,1,1.9,0,0,-2
Hudson-Odoi,6,1,34,0,0,0,0.07,0,0,0.55,0,0,3
James,6,0,0,0,0,0,0,0,0,0,0,0,0
Madueke,6,0,0,0,0,0,0,0,0,0,0,0,0
Mount,6,0,0,0,0,0,0,0,0,0,0,0,0
Mudryk,6,3,60,0,0,0,0.21,1,0,0.21,0,0,12
N.Jackson,6,1,67,0,0,0.52,0.01,1,0,0.32,0,0,-3
Nkunku,6,0,0,0,0,0,0,0,0,0,0,0,0
M.Sarr,6,0,0,0,0,0,0,0,0,0,0,0,0
Sterling,6,2,90,0,0,0.21,0,0,1,1.04,0,0,-1
T.Silva,6,2,90,0,0,0,0.04,0,1,1.04,0,0,23
Ahamada,6,0,0,0,0,0,0,0,0,0,0,0,0
Andersen,6,6,90,0,0,0.06,0.01,1,0,0.59,0,0,26
J.Ayew,6,2,90,0,0,0,0.01,1,0,0.59,0,0,9
C.Doucoure,6,2,90,0,0,0,0.01,1,0,0.59,0,0,12
Edouard,6,2,90,0,0,0,0.01,1,0,0.59,0,0,2
Eze,6,3,90,0,0,0.11,0.34,1,0,0.59,0,0,9
Guehi,6,8,90,0,0,0,0.06,1,0,0.59,0,2,31
Hughes,6,3,90,0,0,0.04,0.04,1,0,0.59,0,0,19
Johnstone,6,8,90,0,0,0,0,1,0,0.59,5,1,30
Lerma,6,0,0,0,0,0,0,0,0,0,0,0,0
Mateta,6,1,20,0,0,0.06,0,0,0,0.23,0,0,2
Mitchell,6,5,90,0,0,0,0.01,1,0,0.59,0,0,18
Olise,6,0,0,0,0,0,0,0,0,0,0,0,0
Schlupp,6,3,69,0,0,0,0.01,1,0,0.36,0,0,3
Tomkins,6,0,0,0,0,0,0,0,0,0,0,0,0
Ward,6,6,90,0,0,0.03,0.01,1,0,0.59,0,0,22
Branthwaite,6,1,90,0,0,0,0.01,0,1,1.04,0,0,11
Calvert-Lewin,6,5,27,1,0,0.61,0,0,0,0.54,0,0,25
A.Doucoure,6,7,90,1,0,0.12,0.05,0,1,1.04,0,0,25
Garner,6,7,90,0,1,0.03,0.3,0,1,1.04,0,2,29
Godfrey,6,0,0,0,0,0,0,0,0,0,0,0,0
Gana,6,2,90,0,0,0.02,0.26,0,1,1.04,0,0,16
Iwobi,6,1,15,0,0,0,0.03,0,0,0.12,0,0,3
Keane,6,0,0,0,0,0,0,0,0,0,0,0,0
Maupay,6,0,0,0,0,0,0,0,0,0,0,0,0
McNeil,6,5,90,0,1,0.1,0.29,0,1,1.04,0,0,23
Mykolenko,6,2,90,0,0,0.15,0.02,0,1,1.04,0,0,11
Onana,6,2,76,0,0,0.14,0.03,0,1,0.91,0,0,9
Patterson,6,0,0,0,0,0,0,0,0,0,0,0,0
Pickford,6,2,90,0,0,0,0.01,0,1,1.04,1,0,10
Tarkowski,6,14,90,1,1,0.28,0.69,0,1,1.04,0,3,41
Andreas,6,3,74,0,0,0.17,0.04,1,0,0.18,0,0,3
Cairney,6,0,0,0,0,0,0,0,0,0,0,0,0
De Cordova-Reid,6,3,78,0,0,0,0.18,1,0,0.23,0,0,8
Diop,6,6,90,0,0,0,0.01,1,0,0.3,0,0,25
Leno,6,10,90,0,0,0,0,1,0,0.3,3,3,33
Lukic,6,0,0,0,0,0,0,0,0,0,0,0,0
J.Palhinha,6,2,90,0,0,0.09,0.01,1,0,0.3,0,0,2
Ream,6,5,90,0,0,0,0.01,1,0,0.3,0,0,19
Reed,6,3,90,0,0,0.01,0.11,1,0,0.3,0,0,11
Robinson,6,7,90,0,0,0,0.09,1,0,0.3,0,1,30
Tete,6,0,0,0,0,0,0,0,0,0,0,0,0
Tosin,6,0,0,0,0,0,0,0,0,0,0,0,0
H.Wilson,6,1,11,0,0,0.04,0.02,0,0,0.06,0,0,7
Alexander-Arnold,6,0,0,0,0,0,0,0,0,0,0,0,0
A.Becker,6,3,90,0,0,0,0,0,1,1.11,3,0,21
Bajcetic,6,0,0,0,0,0,0,0,0,0,0,0,0
Darwin,6,6,80,1,0,0.89,0.01,0,1,1.09,0,0,23
Diogo J.,6,6,9,1,0,0.46,0,0,0,0.02,0,0,19
Elliott,6,0,0,0,0,0,0,0,0,0,0,0,0
Gakpo,6,1,9,0,0,0.24,0,0,0,0.02,0,0,-1
Gomez,6,2,90,0,0,0,0.03,0,1,1.11,0,0,16
Jones,6,2,76,0,0,0.04,0.03,0,1,1.07,0,0,12
Konate,6,0,0,0,0,0,0,0,0,0,0,0,0
Luis Diaz,6,2,80,0,0,0.01,0.11,0,1,1.09,0,0,4
Mac Allister,6,6,87,0,1,0.03,0.39,0,1,1.09,0,1,24
Matip,6,2,90,0,0,0,0.05,0,1,1.11,0,0,15
Phillips,6,0,0,0,0,0,0,0,0,0,0,0,0
Robertson,6,2,90,0,0,0,0.28,0,1,1.11,0,0,21
Salah,6,10,90,1,0,1.01,0.27,0,1,1.11,0,3,36
Szoboszlai,6,2,90,0,0,0.08,0.36,0,1,1.11,0,0,17
Thiago,6,0,0,0,0,0,0,0,0,0,0,0,0
Tsimikas,6,0,0,0,0,0,0,0,0,0,0,0,0
Virgil,6,7,90,0,1,0.28,0.08,0,1,1.11,0,2,29
Adebayo,6,1,5,0,0,0,0,0,0,0,0,0,3
M.Andersen,6,0,0,0,0,0,0,0,0,0,0,0,0
Bell,6,2,90,0,0,0,0.02,0,1,0.59,0,0,14
Burke,6,2,90,0,0,0.06,0.03,0,1,0.59,0,0,9
Doughty,6,3,71,0,0,0.08,0.29,0,1,0.59,0,1,17
McAtee,6,0,0,0,0,0,0,0,0,0,0,0,0
Morris,6,9,90,1,0,1.04,0.08,0,1,0.59,0,3,25
Ogbene,6,2,90,0,0,0.04,0.42,0,1,0.59,0,0,13
Woodrow,6,1,18,0,0,0.29,0.04,0,0,0,0,0,2
Akanji,6,5,90,0,0,0,0.03,1,0,1.03,0,0,22
Ake,6,1,33,0,0,0,0.2,0,0,0.77,0,0,7
J.Alvarez,6,1,56,0,0,0.55,0.02,0,0,0.25,0,0,4
Bernardo,6,0,0,0,0,0,0,0,0,0,0,0,0
De Bruyne,6,0,0,0,0,0,0,0,0,0,0,0,0
Ruben,6,6,90,0,0,0,0.02,1,0,1.03,0,0,26
Ederson M.,6,6,90,0,0,0,0,1,0,1.03,3,0,23
