Id,Name,Team,Position,Price,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive,ActualPoints
599,Diaby,AstonVilla,Midfielder,0,40,559,2,4,1.6799999999999997,0.9000000000000001,2,10,10.129999999999999,0,2,126,40,559,4,1.6799999999999997,0.9000000000000001,2,10,10.129999999999999,0,2,126,Brighton,14,7,0,0,8
672,Zaniolo,AstonVilla,Midfielder,0,6,228,0,0,0.49,0.4,1,2,3.33,0,0,-1,6,228,0,0.49,0.4,1,2,3.33,0,0,-1,Brighton,14,7,0,0,1
699,Lenglet,AstonVilla,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brighton,14,7,0,0,0
63,Billing,Bournemouth,Midfielder,0,15,600,0,0,1.33,0.24000000000000002,1,14,15.530000000000001,0,0,60,15,600,0,1.33,0.24000000000000002,1,14,15.530000000000001,0,0,60,Arsenal,9,5,0,0,2
64,Brooks,Bournemouth,Midfielder,0,13,144,1,0,1.5899999999999999,0.31,0,2,3.2,0,2,41,13,144,0,1.5899999999999999,0.31,0,2,3.2,0,2,41,Arsenal,9,5,0,0,0
65,Christie,Bournemouth,Midfielder,0,17,524,0,1,0.37,0.69,1,12,13.71,0,0,70,17,524,1,0.37,0.69,1,12,13.71,0,0,70,Arsenal,9,5,0,0,2
66,L.Cook,Bournemouth,Midfielder,0,10,405,0,0,0.07,0.15,1,10,11.06,0,0,60,10,405,0,0.07,0.15,1,10,11.06,0,0,60,Arsenal,9,5,0,0,2
70,Kelly,Bournemouth,Defender,0,10,276,0,0,0,0.07,1,5,5.6,0,2,63,10,276,0,0,0.07,1,5,5.6,0,2,63,Arsenal,9,5,0,0,0
72,Kluivert,Bournemouth,Midfielder,0,9,334,0,0,0.35,0.6700000000000002,0,7,8.16,0,0,16,9,334,0,0.35,0.6700000000000002,0,7,8.16,0,0,16,Arsenal,9,5,0,0,1
73,Lowe,SheffieldUtd,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WestHam,10,9,0,0,0
75,Mepham,Bournemouth,Defender,0,1,33,0,0,0,0.01,0,1,1.22,0,0,6,1,33,0,0,0.01,0,1,1.22,0,0,6,Arsenal,9,5,0,0,0
76,Moore,Bournemouth,Forward,0,3,54,0,0,0.27,0.060000000000000005,0,0,0.66,0,0,4,3,54,0,0.27,0.060000000000000005,0,0,0.66,0,0,4,Arsenal,9,5,0,0,0
77,N.Neto,Bournemouth,Goalkeeper,0,27,630,0,0,0,0.01,1,15,16.55,30,5,138,27,630,0,0,0.01,1,15,16.55,30,5,138,Arsenal,9,5,0,0,1
81,Rothwell,Bournemouth,Midfielder,0,6,225,0,0,0.03,0.08,0,6,6.07,0,0,28,6,225,0,0.03,0.08,0,6,6.07,0,0,28,Arsenal,9,5,0,0,1
82,Semenyo,Bournemouth,Forward,0,15,254,1,1,0.7000000000000001,0.13,0,8,7.7,0,1,35,15,254,1,0.7000000000000001,0.13,0,8,7.7,0,1,35,Arsenal,9,5,0,0,1
83,Senesi,Bournemouth,Defender,0,7,345,0,1,0,0.29000000000000004,0,10,11.3,0,0,59,7,345,1,0,0.29000000000000004,0,10,11.3,0,0,59,Arsenal,9,5,0,0,0
85,Solanke,Bournemouth,Forward,0,31,630,3,1,2.91,0.39,1,15,16.55,0,2,83,31,630,1,2.91,0.39,1,15,16.55,0,2,83,Arsenal,9,5,0,0,2
86,Tavernier,Bournemouth,Midfielder,0,10,211,0,1,0.09000000000000001,0.5700000000000001,1,6,6.92,0,0,41,10,211,1,0.09000000000000001,0.5700000000000001,1,6,6.92,0,0,41,Arsenal,9,5,0,0,1
87,Hamed Traorè,Bournemouth,Midfielder,0,3,44,0,0,0.16999999999999998,0.01,0,1,0.84,0,0,10,3,44,0,0.16999999999999998,0.01,0,1,0.84,0,0,10,Arsenal,9,5,0,0,0
89,Zabarnyi,Bournemouth,Defender,0,11,630,0,0,0.07,0.05,1,15,16.55,0,0,108,11,630,0,0.07,0.05,1,15,16.55,0,0,108,Arsenal,9,5,0,0,0
595,Kerkez,Bournemouth,Defender,0,10,605,0,0,0.07,0.32,1,14,15.470000000000002,0,0,62,10,605,0,0.07,0.32,1,14,15.470000000000002,0,0,62,Arsenal,9,5,0,0,1
643,Aarons,Bournemouth,Defender,0,11,614,0,0,0.02,0.36000000000000004,1,15,16.36,0,0,92,11,614,0,0.02,0.36000000000000004,1,15,16.36,0,0,92,Arsenal,9,5,0,0,0
705,Sinisterra,Bournemouth,Midfielder,0,2,48,0,0,0,0.06,0,1,1.25,0,0,6,2,48,0,0,0.06,0,1,1.25,0,0,6,Arsenal,9,5,0,0,1
90,Ajer,Brentford,Defender,0,8,210,0,1,0.48,1.51,0,5,2.32,0,0,45,8,210,1,0.48,1.51,0,5,2.32,0,0,45,NottmForest,6,7,0,0,2
96,Collins,Brentford,Defender,0,17,549,0,1,0.13,0.5000000000000001,1,8,6.26,0,0,114,17,549,1,0.13,0.5000000000000001,1,8,6.26,0,0,114,NottmForest,6,7,0,0,2
98,Damsgaard,Brentford,Midfielder,0,2,52,0,0,0.07,0.01,0,0,0.6599999999999999,0,0,4,2,52,0,0.07,0.01,0,0,0.6599999999999999,0,0,4,NottmForest,6,7,0,0,0
99,Dasilva,Brentford,Midfielder,0,1,9,0,0,0,0,0,0,0.07,0,0,3,1,9,0,0,0,0,0,0.07,0,0,3,NottmForest,6,7,0,0,0
101,Flekken,Brentford,Goalkeeper,0,19,630,0,0,0,0,1,10,8.28,17,1,121,19,630,0,0,0,1,10,8.28,17,1,121,NottmForest,6,7,0,0,2
103,Henry,Brentford,Defender,0,13,401,0,1,0.07,0.9,1,5,5.12,0,0,74,13,401,1,0.07,0.9,1,5,5.12,0,0,74,NottmForest,6,7,0,0,0
104,Hickey,Brentford,Defender,0,11,540,0,0,0.16000000000000003,0.13,1,10,7.659999999999999,0,0,66,11,540,0,0.16000000000000003,0.13,1,10,7.659999999999999,0,0,66,NottmForest,6,7,0,0,1
105,Janelt,Brentford,Midfielder,0,18,560,0,1,0.3400000000000001,0.4,1,7,6.08,0,0,80,18,560,1,0.3400000000000001,0.4,1,7,6.08,0,0,80,NottmForest,6,7,0,0,2
106,Jensen,Brentford,Midfielder,0,36,537,2,2,0.22,1.6199999999999999,2,9,7.3,0,6,140,36,537,2,0.22,1.6199999999999999,2,9,7.3,0,6,140,NottmForest,6,7,0,0,6
107,Lewis-Potter,Brentford,Midfielder,0,8,218,0,0,0.98,0.28,0,5,3.2100000000000004,0,0,13,8,218,0,0.98,0.28,0,5,3.2100000000000004,0,0,13,NottmForest,6,7,0,0,2
108,Mbeumo,Brentford,Midfielder,0,38,630,4,0,4.470000000000001,1.34,1,10,8.28,0,4,113,38,630,0,4.470000000000001,1.34,1,10,8.28,0,4,113,NottmForest,6,7,0,0,2
109,Mee,Brentford,Defender,0,3,151,0,0,0,0.16,0,3,3.45,0,0,28,3,151,0,0,0.16,0,3,3.45,0,0,28,NottmForest,6,7,0,0,0
110,Norgaard,Brentford,Midfielder,0,24,580,1,1,0.9400000000000001,0.5800000000000001,1,10,7.939999999999999,0,2,114,24,580,1,0.9400000000000001,0.5800000000000001,1,10,7.939999999999999,0,2,114,NottmForest,6,7,0,0,9
111,Onyeka,Brentford,Midfielder,0,4,104,0,0,0.31000000000000005,1,0,4,2.38,0,0,22,4,104,0,0.31000000000000005,1,0,4,2.38,0,0,22,NottmForest,6,7,0,0,0
112,Pinnock,Brentford,Defender,0,16,630,0,0,0.75,0.26,1,10,8.28,0,1,111,16,630,0,0.75,0.26,1,10,8.28,0,1,111,NottmForest,6,7,0,0,2
115,Schade,Brentford,Midfielder,0,19,255,1,1,0.8,0.35,1,2,2.36,0,2,40,19,255,1,0.8,0.35,1,2,2.36,0,2,40,NottmForest,6,7,0,0,0
